Name,Editor(Develop),Editor(Release),Mono(Develop),Mono(Release),IL2CPP(Develop),IL2CPP(Release)
FieldInfoPerformanceTest.SetStaticValue_Fast_DownCast,4.091858,0.9840698,1.004196,0.9094849,1.498047,1.306641
FieldInfoPerformanceTest.SetStaticValue_Fast_DownCastToStruct,4.560181,1.968384,2.210892,2.134842,1.326172,1.183594
FieldInfoPerformanceTest.SetStaticValue_Fast_UpCast,1.722229,0.576416,0.6272736,0.5453186,0.6347656,0.5449219
FieldInfoPerformanceTest.SetStaticValue_Fast_UpCastFromStruct,4.674988,1.571411,1.721634,1.815933,1.453125,1.306641
FieldInfoPerformanceTest.SetStaticValue_FieldPointer,0.1299438,0.01367188,0.02032471,0.02275085,0.015625,0.01757813
FieldInfoPerformanceTest.SetStaticValue_FieldPointer_DownCast,2.852356,0.7545166,0.7590027,0.6718597,1.160156,1.017578
FieldInfoPerformanceTest.SetStaticValue_FieldPointer_DownCastToStruct,3.311707,1.718323,1.933228,1.827011,0.9609375,0.8378906
FieldInfoPerformanceTest.SetStaticValue_FieldPointer_UpCast,0.489624,0.3729248,0.3867493,0.3134766,0.3144531,0.2714844
FieldInfoPerformanceTest.SetStaticValue_FieldPointer_UpCastFromStruct,3.462646,1.335632,1.510696,1.514328,1.09375,0.9472656
FieldInfoPerformanceTest.SetStaticValue_Legacy,2.763733,1.620026,1.66568,1.733994,0.8867188,0.7617188
FieldInfoPerformanceTest.SetStaticValue_LowAlloc,3.474182,1.678101,1.870224,1.874023,1.066406,0.9824219
FieldInfoPerformanceTest.SetStructInstanceValue_Fast,1.194336,0.2454834,0.2195892,0.2489319,0.328125,0.2890625
FieldInfoPerformanceTest.SetStructInstanceValue_Fast_DownCast,5.124207,1.711151,1.661896,1.678116,1.9375,1.689453
FieldInfoPerformanceTest.SetStructInstanceValue_Fast_DownCastToStruct,6.333313,3.117554,3.048798,3.35022,2.470703,2.074219
FieldInfoPerformanceTest.SetStructInstanceValue_Fast_UpCast,1.485718,0.581604,0.5726013,0.5370941,0.640625,0.5605469
FieldInfoPerformanceTest.SetStructInstanceValue_Fast_UpCastFromStruct,6.413696,2.782806,2.693069,3.015137,2.347656,2.1875
FieldInfoPerformanceTest.SetStructInstanceValue_FieldPointer,0.1599121,0.0171814,0.0201416,0.02023315,0.02734375,0.02148438
FieldInfoPerformanceTest.SetStructInstanceValue_FieldPointer_DownCast,4.49646,1.533844,1.453918,1.455902,1.597656,1.408203
FieldInfoPerformanceTest.SetStructInstanceValue_FieldPointer_DownCastToStruct,5.702637,2.921844,2.818298,3.096695,1.980469,1.701172
FieldInfoPerformanceTest.SetStructInstanceValue_FieldPointer_UpCast,0.5339355,0.3881226,0.3559113,0.3144226,0.3320313,0.2695313
FieldInfoPerformanceTest.SetStructInstanceValue_FieldPointer_UpCastFromStruct,5.476318,2.603424,2.464294,2.7957,2.013672,1.845703
FieldInfoPerformanceTest.SetStructInstanceValue_Legacy,3.36615,2.55072,2.437622,2.623825,1.578125,1.353516
FieldInfoPerformanceTest.SetStructInstanceValue_LowAlloc,5.0177,2.871948,2.849533,3.147873,1.984375,1.830078
MethodBasePerformanceTest.InvokeClassInstance_Delegate,0.08215332,0.02716064,0.03770447,0.04109192,0.0234375,0.01953125
MethodBasePerformanceTest.InvokeClassInstance_Fast,1.837402,0.3884277,0.4042664,0.4094543,0.3554688,0.3457031
MethodBasePerformanceTest.InvokeClassInstance_Fast_ArgDownCast,5.649719,1.196289,1.19696,1.142349,1.929688,1.695313
MethodBasePerformanceTest.InvokeClassInstance_Fast_ArgDownCastToStruct,11.80994,6.417542,7.05307,6.803894,3.820313,3.248047
MethodBasePerformanceTest.InvokeClassInstance_Fast_ArgUpCast,2.215027,0.6780396,0.6609039,0.592804,0.6601563,0.5664063
MethodBasePerformanceTest.InvokeClassInstance_Fast_ArgUpCastFromStruct,13.02759,6.49884,7.166382,6.886841,5.283203,4.621094
MethodBasePerformanceTest.InvokeClassInstance_Fast_ResultDownCast,11.6438,6.042053,6.494049,6.393219,3.574219,3.121094
MethodBasePerformanceTest.InvokeClassInstance_Fast_ResultDownCastToStruct,11.31403,5.813965,6.438248,6.295151,3.529297,3.03125
MethodBasePerformanceTest.InvokeClassInstance_Fast_ResultUpCast,2.203308,0.6850586,0.6625519,0.5913086,0.6601563,0.5703125
MethodBasePerformanceTest.InvokeClassInstance_Fast_ResultUpCastFromStruct,14.08307,7.124329,7.843063,7.563019,6.275391,5.132813
MethodBasePerformanceTest.InvokeClassInstance_Fast_Virtual,2.493042,0.4488525,0.4568329,0.4547424,0.703125,0.625
MethodBasePerformanceTest.InvokeClassInstance_FunctionPointer,0.09558105,0.02770996,0.03369141,0.03372192,0.02148438,0.01757813
MethodBasePerformanceTest.InvokeClassInstance_Legacy,7.57196,5.509521,6.029404,5.732864,2.626953,2.289063
MethodBasePerformanceTest.InvokeClassInstance_LowAlloc,11.93555,6.630798,7.284637,6.920227,5.199219,4.679688
MethodBasePerformanceTest.InvokeClassInstance_MethodPointer,0.140625,0.04412842,0.05244446,0.04902649,0.0390625,0.0390625
MethodBasePerformanceTest.InvokeClassInstance_MethodPointer_ArgDownCast,4.430786,0.9002686,0.9289246,0.8496094,1.591797,1.402344
MethodBasePerformanceTest.InvokeClassInstance_MethodPointer_ArgDownCastToStruct,9.252563,6.209534,6.706375,6.507217,3.503906,2.953125
MethodBasePerformanceTest.InvokeClassInstance_MethodPointer_ArgUpCast,0.4345703,0.3032837,0.3271027,0.2522125,0.3359375,0.28125
