Name,Editor(Develop),Editor(Release),Mono(Develop),Mono(Release),IL2CPP(Develop),IL2CPP(Release)
TypePerformanceTest.IsSpecialName_Legacy,0.1647949,0.09985352,0.1050415,0.1173706,0.06640625,0.05859375
TypePerformanceTest.IsSZArray_Fast,0.276062,0.104248,0.1018982,0.1169128,0.046875,0.03515625
TypePerformanceTest.IsSZArray_Fast_Optimized,0.08270264,0.01159668,0.0133667,0.0133667,0.01953125,0.01171875
TypePerformanceTest.IsSZArray_Legacy,0.2148438,0.1025391,0.1051636,0.1178894,0.03125,0.03125
TypePerformanceTest.IsTypeDefinition_Fast,0.5827637,0.2806396,0.2842407,0.3202209,0.1289063,0.140625
TypePerformanceTest.IsTypeDefinition_Fast_Optimized,0.08123779,0.01135254,0.009674072,0.01367188,0.01171875,0.01953125
TypePerformanceTest.IsTypeDefinition_Legacy,0.6206665,0.2797241,0.285614,0.3219604,0.1367188,0.109375
TypePerformanceTest.IsUnicodeClass_Fast,0.2281494,0.09539795,0.09863281,0.116394,0.0703125,0.0625
TypePerformanceTest.IsUnicodeClass_Fast_Optimized,0.07556152,0.004089355,0.00958252,0.01348877,0.01953125,0.01171875
TypePerformanceTest.IsUnicodeClass_Legacy,0.2021484,0.09533691,0.1016541,0.1164246,0.06640625,0.0625
TypePerformanceTest.IsValueType_Fast,0.4544067,0.1868896,0.1859131,0.2036133,0.6757813,0.6171875
TypePerformanceTest.IsValueType_Fast_Optimized,0.0748291,0.004455566,0.00958252,0.009796143,0.01171875,0.015625
TypePerformanceTest.IsValueType_Legacy,0.4642944,0.1869507,0.1701965,0.1896973,0.6640625,0.6171875
TypePerformanceTest.IsVariableBoundArray_Fast,0.242981,0.09863281,0.1029358,0.1166992,0.0390625,0.03125
TypePerformanceTest.IsVariableBoundArray_Fast_Optimized,0.07971191,0.01159668,0.01043701,0.01342773,0.015625,0.01171875
TypePerformanceTest.IsVariableBoundArray_Legacy,0.213501,0.1029053,0.1022644,0.116333,0.03515625,0.03125
TypePerformanceTest.IsVisible_Fast,0.961731,0.4467163,0.452179,0.5187988,0.25,0.2421875
TypePerformanceTest.IsVisible_Fast_Optimized,0.08880615,0.01147461,0.009887695,0.01358032,0.01171875,0.01171875
TypePerformanceTest.IsVisible_Legacy,0.9502563,0.4466553,0.4533081,0.5103455,0.2382813,0.2304688
TypePerformanceTest.MakeArrayType_Fast,0.8049316,0.7678833,0.8491821,0.8884583,0.3984375,0.4921875
TypePerformanceTest.MakeArrayType_Fast_Optimized,0.09625244,0.004699707,0.01434326,0.01345825,0.01171875,0.015625
TypePerformanceTest.MakeArrayType_Legacy,0.7976685,0.7680054,0.8492432,0.9098511,0.4023438,0.4882813
TypePerformanceTest.MakeByRefType_Fast,0.7826538,0.6080933,0.6889954,0.7240601,0.1875,0.2148438
TypePerformanceTest.MakeByRefType_Fast_Optimized,0.07971191,0.007263184,0.01419067,0.01339722,0.015625,0.01171875
TypePerformanceTest.MakeByRefType_Legacy,0.7246704,0.6102295,0.6885681,0.7158203,0.1835938,0.2109375
TypePerformanceTest.MakePointerType_Fast,1.043701,0.9465332,0.9878845,1.034576,0.328125,0.3984375
TypePerformanceTest.MakePointerType_Fast_Optimized,0.08154297,0.006652832,0.01339722,0.01330566,0.01953125,0.01171875
TypePerformanceTest.MakePointerType_Legacy,1.008301,0.9281616,0.9889526,1.036652,0.3203125,0.3984375
TypePerformanceTest.ToString_Fast,4.059753,3.955994,3.843994,4.313812,3.207031,3.148438
TypePerformanceTest.ToString_Fast_Optimized,0.1036987,0.01153564,0.01345825,0.01379395,0.015625,0.015625
TypePerformanceTest.ToString_Legacy,4.059814,3.962402,3.854858,4.33371,3.574219,3.109375
